spaina,1
stranded,10
shores,7
europe,5
burke,2
somewhere,21
tenth,4
branch,4
kings,26
ordinary,19
revenue,2
grounded,3
consideration,8
guarding,1
protecting,1
pirates,11
robbers,1
right,140
royal,25
sturgeon,3
either,37
thrown,24
property,7
blackstone,3
soon,129
sport,3
crews,20
repair,3
rodmond,1
unerring,3
oer,1
suspends,1
barbed,6
steel,30
turn,61
attends,1
falconers,1
shipwreck,2
bright,25
shone,3
roofs,1
domes,1
spires,6
rockets,1
blew,8
self,8
driven,10
hang,5
momentary,2
fire,62
around,38
vault,3
heaven,42
serves,2
high,100
upspouted,1
air,137
express,8
unwieldy,1
joy,16
cowper,2
queens,8
visit,11
london,14
fifteen,11
gallons,5
blood,53
stroke,16
velocity,10
john,12
hunters,27
account,34
dissection,1
small,123
sized,6
aorta,1
bore,17
main,15
pipe,34
waterworks,1
bridge,2
roaring,9
its,462
passage,34
inferior,10
impetus,2
gushing,1
paleys,1
theology,2
mammiferous,1
hind,2
baron,5
cuvier,8
40,2
degrees,5
till,121
covered,9
colnetts,2
purpose,40
extending,8
fishery,60
free,28
element,11
beneath,76
swam,20
floundered,3
dived,11
chace,4
colour,14
form,45
language,5
cannot,69
paint,6
mariner,14
insect,3
millions,7
peopling,1
wave,11
gatherd,1
shoals,6
led,10
mysterious,11
instincts,1
waste,3
trackless,1
region,5
though,364
assaulted,1
voracious,1
enemies,2
sharks,52
armd,1
front,25
jaw,53
swords,2
saws,2
spiral,1
horns,7
hooked,5
fangs,3
montgomerys,1
flood,10
io,2
paean,1
sing,21
finny,2
peoples,6
mightier,2
atlantic,18
fatter,1
flounders,2
polar,13
charles,1
lambs,1
triumph,4
year,23
1690,1
persons,9
hill,12
observing,8
spouting,12
each,128
observed,18
therepointing,1
seais,1
green,48
pasture,4
where,203
childrens,1
grandchildren,1
bread,13
obed,3
macys,1
built,6
cottage,3
susan,1
gateway,2
gothic,4
arch,6
setting,13
hawthornes,1
twice,12
tales,6
she,116
bespeak,1
monument,2
her,323
love,24
pacific,34
less,53
forty,22
ago,31
tis,23
answered,21
tom,3
sprout,2
threw,10
pair,12
pretty,29
rainbows,3
christian,17
wish,14
look,179
hes,95
raal,1
oilbutt,2
fellow,40
coopers,5
pilot,20
papers,10
berlin,1
gazette,1
introduced,6
stage,8
eckermanns,1
conversations,1
goethe,2
my,586
mr,58
matter,84
stove,22
essex,3
attacked,4
finally,27
destroyed,10
sperm,239
owen,6
mate,61
new,84
york,6
1821,1
sat,45
shrouds,8
night,129
piping,1
dimmed,1
moonlight,8
phospher,1
gleamed,5
wake,40
elizabeth,1
oakes,1
smith,1
line,117
withdrawn,5
engaged,18
capture,14
amounted,1
10440,1
nearly,34
miles,30
shakes,5
tremendous,9
cracking,4
whip,7
resounds,2
distance,39
three,237
scoresby,9
mad,32
agonies,1
endures,1
fresh,29
attacks,3
infuriated,1
rolls,14
rears,1
enormous,26
wide,44
expanded,5
snaps,1
everything,20
rushes,2
propelled,1
utterly,13
astonishment,6
habits,4
interesting,8
commercial,3
point,67
entirely,29
neglected,2
excited,8
curiosity,10
numerous,16
competent,5
observers,1
possessed,6
abundant,3
convenient,11
opportunities,1
witnessing,2
habitudes,1
beales,5
1839,3
cachalot,4
only,372
better,63
possessing,3
formidable,2
weapon,8
extremity,9
displays,2
disposition,3
employ,2
weapons,8
offensively,1
manner,37
artful,1
bold,17
mischievous,1
lead,13
regarded,24
dangerous,13
species,31
frederick,5
debell,1
bennetts,2
whaling,113
1840,1
october,1
13,2
blows,16
masthead,36
away,174
demanded,11
points,14
lee,17
bow,38
raise,9
wheel,5
steady,29
ahoy,8
do,298
ay,4
shoal,8
breaches,5
time,323
theretherethar,1
blowsbowesbooos,1
half,89
thunder,23
lightning,19
call,55
hands,126
j,4
ross,3
brownes,1
etchings,1
cruize,1
1846,1
whaleship,27
board,62
occurred,10
horrid,4
transactions,1
relate,1
belonged,13
island,30
lay,75
hussey,16
survivors,1
1828,2
pursued,10
parried,1
assault,4
lance,41
furious,7
monster,39
rushed,15
himself,200
comrades,12
preserved,5
leaping,14
onset,6
inevitable,2
missionary,4
journal,1
tyerman,1
bennett,2
itself,84
webster,1
striking,22
peculiar,56
portion,4
national,3
interest,18
population,3
eight,22
nine,9
thousand,50
adding,3
largely,8
wealth,3
boldest,1
persevering,1
industry,3
report,8
daniel,2
speech,3
u,1
s,1
senate,2
application,6
erection,2
breakwater,1
fell,36
directly,20
probably,14
moment,100
captors,1
whalemans,10
adventures,6
biography,1
gathered,8
homeward,4
cruise,9
commodore,8
preble,1
rev,2
cheever,2
damn,10
bit,25
noise,12
replied,10
samuel,11
send,14
hell,29
comstock,2
mutineer,3
brother,10
another,111
northern,11
possible,30
discover,7
india,5
failed,4
object,38
laidopen,1
haunts,3
mccullochs,1
reciprocal,1
ball,9
rebounds,2
bound,21
forward,50
again,252
laying,6
whalemen,67
seem,84
indirectly,13
hit,13
clews,1
mystic,16
northwest,2
something,119
unpublished,1
impossible,16
meet,19
struck,46
appearance,11
under,115
short,55
lookouts,13
mastheads,31
eagerly,8
scanning,3
expanse,3
totally,2
different,24
regular,24
currents,8
ex,5
pedestrians,1
vicinity,19
elsewhere,13
recollect,1
having,65
curved,4
upright,11
arches,2
gateways,1
entrances,2
alcoves,2
perhaps,87
voyager,4
arctic,7
returned,14
pursuit,23
whites,2
bloody,8
possession,12
savages,13
enrolled,3
crew,134
newspaper,2
taking,50
retaking,1
hobomack,1
vessels,30
american,34
few,93
return,12
departed,14
suddenly,50
mass,38
emerged,5
shot,34
